section,reseau,type_verre,priorite,nom_verre,matiere,traitement,prix,photochromique_possible,supplement_photochromique,reference_affichee,prix_versailles,prix_lvdb,prix_autres
reseaux,carte_blanche,unifocaux,5,Unifocal Generique,Ormix,CZ Sapph,106,oui,37,Ormix Cz Sapph,,,
reseaux,carte_blanche,unifocaux,5,Unifocal Generique,Ormix,CZ Prev,113,oui,37,Ormix Cz F Prev,,,
reseaux,itelis,progressifs,1,Varilux S 2,Ormix,CZ Rock,239,oui,25,Varilux S 2 Ormix EPS Cz Rock,,,
reseaux,itelis,progressifs,1,Varilux S 2,Ormix,CZ Prev,240,oui,25,Varilux S 2 Ormix EPS Cz F Prev,,,
reseaux,itelis,progressifs,2,Varilux Physio 3D,Ormix,CZ Rock,227,oui,25,Varilux Physio 3D Ormix EPS Cz Rock,,,
reseaux,itelis,progressifs,2,Varilux Physio 3D,Ormix,CZ Prev,228,oui,25,Varilux Physio 3D Ormix EPS Cz F Prev,,,
reseaux,itelis,progressifs,3,Essilor Amatsi,Ormix,CZ Rock,199,oui,25,Essilor Amatsi Xt Ormix BUC Cz Rock,,,
reseaux,itelis,progressifs,3,Essilor Amatsi,Ormix,CZ Prev,200,oui,25,Essilor Amatsi Xt Ormix BUC Cz F Prev,,,
reseaux,itelis,progressifs,4,Essilor Prems,Ormix,CZ Rock,153,oui,25,Essilor Prems HD Ormix BUC Cz Rock,,,
reseaux,itelis,progressifs,4,Essilor Prems,Ormix,CZ Prev,154,oui,25,Essilor Prems HD Ormix BUC Cz F Prev,,,
reseaux,itelis,unifocaux,1,Eyezen,Ormix,CZ Rock,116,oui,25,Eyezen Boost 0.6 Ormix EPS Cz Rock,,,
reseaux,itelis,unifocaux,1,Eyezen,Ormix,CZ Prev,112,oui,25,Eyezen Boost 0.6 Ormix EPS Cz F Prev,,,
reseaux,itelis,unifocaux,2,Eyezen,Ormix,CZ Rock,113,oui,25,Eyezen Start Ormix EPS Cz Rock,,,
reseaux,itelis,unifocaux,2,Eyezen,Ormix,CZ Prev,109,oui,25,Eyezen Start Ormix EPS Cz F Prev,,,
reseaux,itelis,unifocaux,3,Unifocal Generique,Ormix,CZ Rock,88,oui,25,Ormix BUC Cz Rock,,,
reseaux,itelis,unifocaux,3,Unifocal Generique,Ormix,CZ Prev,84,oui,25,Ormix BUC Cz F Prev,,,
reseaux,itelis,unifocaux,4,Eyezen Kids,Ormix,CZ Rock,113,oui,25,Eyezen Kids Ormix EPS Cz Sapph,,,
reseaux,itelis,unifocaux,4,Eyezen Kids,Ormix,CZ Prev,114,oui,25,Eyezen Kids Ormix EPS Cz F Prev,,,
reseaux,kalixia,progressifs,1,Varilux Physio 3D,Orma,CZ Rock,231,oui,"25,74",Varilux Physio 3D Orma EPS Cz Rock,,,
reseaux,kalixia,progressifs,1,Varilux Physio 3D,Orma,CZ Prev,231,oui,"25,74",Varilux Physio 3D Orma EPS Cz F Prev,,,
reseaux,kalixia,progressifs,1,Varilux Physio 3D,Ormix,CZ Rock,231,oui,"25,74",Varilux Physio 3D Ormix EPS Cz Rock,,,
reseaux,kalixia,progressifs,1,Varilux Physio 3D,Ormix,CZ Prev,231,oui,"25,74",Varilux Physio 3D Ormix EPS Cz F Prev,,,
reseaux,kalixia,progressifs,2,Essilor Prems,Orma,CZ EasyP,182,oui,"25,74",Ess Prems HD Orma BUC Cz EasyP,,,
reseaux,kalixia,progressifs,2,Essilor Prems,Orma,CZ Prev,182,oui,"25,74",Ess Prems HD Orma BUC Cz F Prev,,,
reseaux,kalixia,progressifs,2,Essilor Prems,Ormix,CZ EasyP,182,oui,"25,74",Ess Prems HD Ormix BUC Cz EasyP,,,
reseaux,kalixia,progressifs,2,Essilor Prems,Ormix,CZ Prev,182,oui,"25,74",Ess Prems HD Ormix BUC Cz F Prev,,,
reseaux,kalixia,progressifs,3,Varilux Digitime,Orma,CZ EasyP,201,oui,"25,74",Varilux Digitime Fit Orma EPS Cz EasyP,,,
reseaux,kalixia,progressifs,3,Varilux Digitime,Orma,CZ Prev,201,oui,"25,74",Varilux Digitime Fit Orma EPS Cz F Prev,,,
reseaux,kalixia,progressifs,3,Varilux Digitime,Ormix,CZ EasyP,201,oui,"25,74",Varilux Digitime Fit Ormix EPS Cz EasyP,,,
reseaux,kalixia,progressifs,3,Varilux Digitime,Ormix,CZ Prev,201,oui,"25,74",Varilux Digitime Fit Ormix EPS Cz F Prev,,,
reseaux,kalixia,unifocaux,1,Eyezen,Orma,CZ Prev,116,oui,"25,74",Eyezen Start Fit Orma EPS Cz F Prev,,,
reseaux,kalixia,unifocaux,1,Eyezen,Orma,CZ Sapph,116,oui,"25,74",Eyezen Start Fit Orma EPS Cz Sapph,,,
reseaux,kalixia,unifocaux,1,Eyezen,Ormix,CZ Prev,116,oui,"25,74",Eyezen Start Fit Ormix EPS Cz F Prev,,,
reseaux,kalixia,unifocaux,1,Eyezen,Ormix,CZ Sapph,116,oui,"25,74",Eyezen Start Fit Ormix EPS Cz Sapph,,,
reseaux,kalixia,unifocaux,2,Eyezen,Orma,CZ Sapph,101,oui,"25,74",Eyezen Start Orma Stock BUC Cz Sapph,,,
reseaux,kalixia,unifocaux,2,Eyezen,Ormix,CZ Sapph,101,oui,"25,74",Eyezen Start Ormix Stock BUC Cz Sapph,,,
reseaux,kalixia,unifocaux,3,Unifocal Generique,Orma,CZ Prev,81,oui,"25,74",Orma Cz F Prev,,,
reseaux,kalixia,unifocaux,3,Unifocal Generique,Orma,CZ EasyP,78,oui,"25,74",Orma Cz EasyP,,,
reseaux,kalixia,unifocaux,3,Unifocal Generique,Ormix,CZ Prev,81,oui,"25,74",Ormix Cz F Prev,,,
reseaux,kalixia,unifocaux,3,Unifocal Generique,Ormix,CZ EasyP,78,oui,"25,74",Ormix Cz EasyP,,,
reseaux,kalixia,unifocaux,4,Eyezen Kids,Orma,CZ Prev,116,oui,"25,74",Eyezen Kids Fit Orma EPS Cz F Prev,,,
reseaux,kalixia,unifocaux,4,Eyezen Kids,Orma,CZ Sapph,116,oui,"25,74",Eyezen Kids Fit Orma EPS Cz Sapph,,,
reseaux,kalixia,unifocaux,4,Eyezen Kids,Ormix,CZ Prev,116,oui,"25,74",Eyezen Kids Fit Ormix EPS Cz F Prev,,,
reseaux,kalixia,unifocaux,4,Eyezen Kids,Ormix,CZ Sapph,116,oui,"25,74",Eyezen Kids Fit Ormix EPS Cz Sapph,,,
reseaux,santeclair,progressifs,1,Varilux Physio 3D,Orma,CZ Rock,,non,,Varilux Physio 3D Orma EPS Cz Rock,,,
reseaux,santeclair,progressifs,1,Varilux Physio 3D,Orma,CZ Prev,,non,,Varilux Physio 3D Orma EPS Cz A Prev,,,
reseaux,santeclair,progressifs,1,Varilux Physio 3D,Ormix,CZ Rock,"245,52",non,,Varilux Physio 3D Ormix EPS Cz Rock,"245,52","234,36","239,94"
reseaux,santeclair,progressifs,1,Varilux Physio 3D,Ormix,CZ Prev,"248,16",non,,Varilux Physio 3D Ormix EPS Cz A Prev,"248,16","236,88","242,52"
reseaux,santeclair,progressifs,2,Varilux Cft Max,Orma,CZ Rock,,non,,Varilux Cft Max Fit Orma EPS Cz Rock,,,
reseaux,santeclair,progressifs,2,Varilux Cft Max,Orma,CZ Prev,,non,,Varilux Cft Max Fit Orma EPS Cz A Prev,,,
reseaux,santeclair,progressifs,2,Varilux Cft Max,Ormix,CZ Rock,"220,88",non,,Varilux Cft Max Fit Ormix EPS Cz Rock,"220,88","210,84","215,86"
reseaux,santeclair,progressifs,2,Varilux Cft Max,Ormix,CZ Prev,"223,52",non,,Varilux Cft Max Fit Ormix EPS Cz A Prev,"223,52","213,36","218,44"
reseaux,santeclair,progressifs,3,Varilux Cft Max,Orma,CZ Rock,,non,,Varilux Cft Max Orma EPS Cz Rock,,,
reseaux,santeclair,progressifs,3,Varilux Cft Max,Orma,CZ Prev,,non,,Varilux Cft Max Orma EPS Cz A Prev,,,
reseaux,santeclair,progressifs,3,Varilux Cft Max,Ormix,CZ Rock,"212,96",non,,Varilux Cft Max Ormix EPS Cz Rock,"212,96","203,28","208,12"
reseaux,santeclair,progressifs,3,Varilux Cft Max,Ormix,CZ Prev,"215,6",non,,Varilux Cft Max Ormix EPS Cz A Prev,"215,6","205,8","210,7"
reseaux,santeclair,progressifs,4,Varilux Cft 3,Orma,CZ Rock,,non,,Varilux Cft 3 Fit Orma EPS Cz Rock,,,
reseaux,santeclair,progressifs,4,Varilux Cft 3,Orma,CZ Prev,,non,,Varilux Cft 3 Fit Orma EPS Cz A Prev,,,
reseaux,santeclair,progressifs,4,Varilux Cft 3,Ormix,CZ Rock,"198,88",non,,Varilux Cft 3 Fit Ormix EPS Cz Rock,"198,88","189,84","194,36"
reseaux,santeclair,progressifs,4,Varilux Cft 3,Ormix,CZ Prev,"201,52",non,,Varilux Cft 3 Fit Ormix EPS Cz A Prev,"201,52","192,36","196,94"
